tileswide 30
tileshigh 10
tilewidth 16
tileheight 16

layer 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,
0,8,0,0,4,1,0,4,5,0,0,9,0,4,0,4,1,5,9,0,0,0,0,8,0,8,0,8,0,0,
0,0,0,4,0,8,0,0,0,4,0,0,0,0,0,0,2,6,10,0,4,0,0,0,0,0,0,0,0,0,
4,0,8,0,4,0,0,4,0,0,8,0,4,0,0,4,3,7,11,0,0,0,8,0,8,0,0,0,0,0,
0,4,0,0,0,0,8,0,4,0,0,0,0,0,0,4,0,0,0,8,0,8,0,0,0,0,0,0,0,0,
0,0,0,1,5,5,9,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,0,0,
0,0,0,2,6,6,10,0,0,1,6,10,0,0,0,0,1,9,0,0,0,0,0,0,0,2,6,10,0,0,
1,5,5,6,6,6,10,0,0,3,6,6,9,0,0,0,3,11,0,1,5,5,5,9,0,2,6,6,5,5,
2,6,6,6,6,6,10,0,0,0,3,7,11,0,0,0,0,0,0,2,6,7,6,10,0,3,7,6,6,6,
2,6,6,6,6,6,10,0,0,0,0,0,0,0,1,5,9,0,0,3,11,0,3,11,0,0,0,2,6,6,

